go_id	Evidence	gene_id
GO:0035729	ISO	LOC107374571
GO:0042311	ISO	LOC107374571
GO:0045907	ISO	LOC107374571
GO:0048754	ISO	LOC107374571
GO:0050927	ISO	LOC107374571
GO:0051592	ISO	LOC107374571
GO:0051924	ISO	LOC107374571
GO:0060613	ISO	LOC107374571
GO:0070374	ISO	LOC107374571
GO:0071305	ISO	LOC107374571
GO:0071333	ISO	LOC107374571
GO:0071404	ISO	LOC107374571
GO:0071456	ISO	LOC107374571
GO:0071774	ISO	LOC107374571
GO:0090280	ISO	LOC107374571
GO:1901653	ISO	LOC107374571
GO:1902476	ISO	LOC107374571
GO:0005634	ISO	LOC107374571
GO:0005737	ISO	LOC107374571
GO:0009986	ISO	LOC107374571
GO:0016323	ISO	LOC107374571
GO:0016324	ISO	LOC107374571
GO:0030424	ISO	LOC107374571
GO:0043005	ISO	LOC107374571
GO:0043025	ISO	LOC107374571
GO:0043679	ISO	LOC107374571
GO:0016409	ISO	LOC107373920
GO:0018345	ISO	LOC107373920
GO:0016020	ISO	LOC107373920
GO:0016021	ISO	LOC107373920
GO:0016740	ISO	LOC107373920
GO:0016746	ISO	LOC107373920
GO:0019706	ISO	LOC107373920
GO:0005794	ISO	LOC107373920
GO:0031410	ISO	LOC107373920
GO:0030659	ISO	LOC107373920
GO:0005794	ISO	LOC107373920
GO:0005829	ISO	LOC107373920
GO:0034380	ISO	LOC107373920
GO:0018345	ISO	LOC107373920
GO:0016409	ISO	LOC107373920
GO:0018345	ISO	LOC107373920
GO:0016409	ISO	LOC107373920
GO:0019706	ISO	LOC107373920
GO:0007626	ISO	LOC107373920
GO:0005739	ISO	LOC107373920
GO:0003677	ISO	LOC107393286
GO:0006355	ISO	LOC107393286
GO:0043565	ISO	LOC107393286
GO:0005634	ISO	LOC107393286
GO:0007275	ISO	LOC107393286
GO:0030154	ISO	LOC107393286
GO:0006357	ISO	LOC107393286
GO:0007399	ISO	LOC107393286
GO:0000981	ISO	LOC107393286
GO:0000981	ISO	LOC107393286
GO:0000790	ISO	LOC107393286
GO:0000977	ISO	LOC107393286
GO:0007420	ISO	LOC107393286
GO:0007566	ISO	LOC107393286
GO:0042472	ISO	LOC107393286
GO:0043583	ISO	LOC107393286
GO:0050885	ISO	LOC107393286
GO:0060135	ISO	LOC107393286
GO:0003677	ISO	LOC107373348
GO:0000786	ISO	LOC107373348
GO:0046982	ISO	LOC107373348
GO:0005634	ISO	LOC107373348
GO:0005634	ISO	LOC107373348
GO:0005694	ISO	LOC107373348
GO:0005515	ISO	LOC107373348
GO:0000790	ISO	LOC107373348
GO:0003677	ISO	LOC107373348
GO:0006325	ISO	LOC107373348
GO:0006342	ISO	LOC107373348
GO:0070062	ISO	LOC107373348
GO:0003674	ISO	LOC107373348
GO:0008150	ISO	LOC107373348
GO:0003723	ISO	LOC107393429
GO:0005634	ISO	LOC107393429
GO:0046872	ISO	LOC107393429
GO:0008033	ISO	LOC107393429
GO:0016787	ISO	LOC107393429
GO:0090501	ISO	LOC107393429
GO:0090502	ISO	LOC107393429
GO:0005730	ISO	LOC107393429
GO:0005654	ISO	LOC107393429
GO:0004526	ISO	LOC107393429
GO:0004526	ISO	LOC107393429
GO:0004526	ISO	LOC107393429
GO:0033204	ISO	LOC107393429
GO:0001682	ISO	LOC107393429
GO:0001682	ISO	LOC107393429
GO:0008033	ISO	LOC107393429
GO:0030681	ISO	LOC107393429
GO:0042493	ISO	LOC107393429
GO:0005655	ISO	LOC107393429
GO:0005737	ISO	pafah1b3
GO:0016020	ISO	pafah1b3
GO:0016787	ISO	pafah1b3
GO:0006629	ISO	pafah1b3
GO:0016042	ISO	pafah1b3
GO:0005515	ISO	pafah1b3
GO:0042802	ISO	pafah1b3
GO:0005737	ISO	pafah1b3
GO:0005829	ISO	pafah1b3
GO:0007399	ISO	pafah1b3
GO:0006629	ISO	pafah1b3
GO:0007420	ISO	pafah1b3
GO:0003847	ISO	pafah1b3
GO:0047179	ISO	pafah1b3
GO:0044877	ISO	pafah1b3
GO:0047179	ISO	pafah1b3
GO:0007283	ISO	pafah1b3
GO:0007420	ISO	pafah1b3
GO:0005829	ISO	pafah1b3
GO:0005794	ISO	gnptg
GO:0005794	ISO	gnptg
GO:0042803	ISO	gnptg
GO:0005576	ISO	gnptg
GO:0070062	ISO	gnptg
GO:0046835	ISO	gnptg
GO:0003976	ISO	gnptg
GO:0000139	ISO	gnptg
GO:0016020	ISO	gnptg
GO:0043231	ISO	gnptg
